,, ,,,,,,,,,,,,,,,,"To get information regarding content check the ""catalog TAB""",,,,,,,DO
W028,link,Better Reads (Spring),google drive,github,LINK,Working Document,"Spring, Webflux, Reactive, ",,,,,,,,,,,,,,,,,,
W029,link,Introduction to Streaming and CDC,google drive,github,LINK,Working Document,"Change data capture, streaming",Java,,,,,,,,,,,,,,,,,
W030,"

link




",Real-Time Data pipelines,google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W031,"




","Swift, IOS and Document API
",google drive,github,LINK,Working Document,,,,,,,,,,,,,,,,,,,
W032,"

link




","Quine and Astra DB
In progress 10/19",,github,LINK,Working Document,"Graph, Quine, Astra DB",,,workshops,quine,Quine,Streaming graph analytics,Yes,,,,,,,,,,,
W033,,Quarkus Spring and Micronaut,google drive,github,LINK,Working Document,,,,workshops,quine,Quine,Streaming graph analytics,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
001,,"Introduction do NoSQL Databases

Slides
Badge Example
Github Repository  (slides in PDF inside)
Youtube Recording",,,,,"Core Cassandra
Key-Value
Document DB",CQL,,,,,---,---,,,,,,,,,,,
,,"Introduction to GraphQL

* Slides
* Badge Example
* Github Repository  (slides in PDF inside)
* Live Youtube Recording",,,,,"Exposing GraphQL APi
- GraphQL Playground
- GraphIQL
- GraphQL Api in Astra
- Expose with DGS
- Invoke with Axio","GRAPHQL
JAVASCRIPT
JAVA",,,,,Digital Library,Digital Library,,,,,,,,,,,
001,,"Introduction do NoSQL Databases

Slides
Badge Example
Github Repository  (slides in PDF inside)
Youtube Recording",,,,,"Core Cassandra
Key-Value
Document DB",CQL,,,,,---,---,,,,,,,,,,,
,,"Introduction to GraphQL

* Slides
* Badge Example
* Github Repository  (slides in PDF inside)
* Live Youtube Recording",,,,,"Exposing GraphQL APi
- GraphQL Playground
- GraphIQL
- GraphQL Api in Astra
- Expose with DGS
- Invoke with Axio","GRAPHQL
JAVASCRIPT
JAVA",,,,,Digital Library,Digital Library,,,,,,,,,,,
,WORKSHOP,Introduction to Apache Cassandra,,,,,"Core Cassandra, ",CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,Cassandra Application Development,,,,,"Core Cassandra, Drivers","CQL, Java, Python, Javascript",,,,,,,,,,,,,,,,,
,WORKSHOP,Certification Exam Preparation Workshop,,,,,,CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,"From SQL to NoSQL, a migration path",,,,,,CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,Cassandra Secondary Indices and SAI,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Take Cassandra to the Cloud,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,BattleStax Workshop,,,,,,,,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build an application with TypeScript and VueJS,,,,,,"Typescript, VueJS",,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build your first app with Javascript and NodeJS,,,,,,"Javascript, NodeJS",,,,,,,,,,,,,,,,,
,WORKSHOP,Building a TikTok Clone with Javascript,,,,,,Javascript,,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build a Netflix clone with GraphQL and React,,,,,,"GraphQL, React",,,,Netlify,,,,,,,,,,,,,
,WORKSHOP,Build Cassandra Microservices with Spring,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Reactive Java applications with Spring,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Building CRUD applications on Cassandra with Python and NodeJS,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,An Easy Backend for your application,,,,,,Node and Python,,,,,,,,,,,,,,,,,
,WORKSHOP,Getting Started with Machine Learning,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Build a Todo App on Astra with Spring Boot and Spring Data,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Bring Streaming to C* with Pulsar,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Build Java/Spring Application with AstraSDK,,,,,,JAVA,,,,,,,,,,,,,,,,,
,WORKSHOP,Reactive Apps with Quarkus ,,,,,,JAVA,,,,RedHat/IBM,,,,,,,,,,,,,
,WORKSHOP,Connecting Cassandra and Kubernetes,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Taking your App to the Cloud,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,K8ssandra 1.0,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,Benchmark your NoSQL Database,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Docker Learnings X4,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Kubernetes Basics,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Getting Started with Machine Learning,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Kubernetes Native Application Development,,,,,,,,,,,,,,,,,,,,,,,
,LEARNING MONDAY,Introduction to Pulsar X3,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Event driven APIs with Kafka and Cassandra,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Spark and Cassandra,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Designing & Planning a Cloud Migration,,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Migrating Data to the Cloud [w/ Airflow],,,,,,,,,,,,,,,,,,,,,,,
,PARTNER,Take Cassandra to the Cloud,,,,,,CQL,,,,,,,,,,,,,,,,,
,WORKSHOP,Build a clone of GoodReads with Java and Spring,,,,,,"Java, Spring",,,,,,,,,,,,,,,,,
,WORKSHOP,"NLP text classification as a REST API using Keras, FastAPI & NoSQL",,,,,"Core Cassandra, Drivers","Python, Tensorflow/Keras",,,,,,,,,,,,,,,,,
,WORKSHOP,eCommerce ,,,,,,,,,,,,,,,,,,,,,,,
,WORKSHOP,"Multiplayer game with Event Streaming, FastAPI (A.Streaming and Astra DB)",,,,,"Pulsar, Core Cassandra, Drivers","Python, Node(React)",,,,,,,,,,,,,,,,,
